RecordNumber,Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Xaxis,Yaxis,Zaxis,WorldRegion,Country,LocationText,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,Notes
27312,52803,STANDARD,DAVENPORT,IA,PRIMARY,41.55,-90.6,-7.89E-03,-0.74,0.66,NA,US,"Davenport, IA",NA-US-IA-DAVENPORT,FALSE,10127,16702,344054928,
27313,52804,STANDARD,DAVENPORT,IA,PRIMARY,41.55,-90.6,-7.89E-03,-0.74,0.66,NA,US,"Davenport, IA",NA-US-IA-DAVENPORT,FALSE,12853,21667,399044453,
27315,52806,STANDARD,DAVENPORT,IA,PRIMARY,41.55,-90.6,-7.89E-03,-0.74,0.66,NA,US,"Davenport, IA",NA-US-IA-DAVENPORT,FALSE,13001,22349,462002723,
27316,52807,STANDARD,DAVENPORT,IA,PRIMARY,41.55,-90.6,-7.89E-03,-0.74,0.66,NA,US,"Davenport, IA",NA-US-IA-DAVENPORT,FALSE,11332,18404,523053759,
27317,52808,PO BOX,DAVENPORT,IA,PRIMARY,41.55,-90.6,-7.89E-03,-0.74,0.66,NA,US,"Davenport, IA",NA-US-IA-DAVENPORT,FALSE,336,528,7289606,
27318,52809,PO BOX,DAVENPORT,IA,PRIMARY,41.55,-90.6,-7.89E-03,-0.74,0.66,NA,US,"Davenport, IA",NA-US-IA-DAVENPORT,FALSE,284,433,6242496,
27322,50530,STANDARD,DAYTON,IA,PRIMARY,42.26,-94.07,-0.05,-0.73,0.67,NA,US,"Dayton, IA",NA-US-IA-DAYTON,FALSE,520,962,15096701,
27325,52101,STANDARD,DECORAH,IA,PRIMARY,43.3,-91.79,-0.02,-0.72,0.68,NA,US,"Decorah, IA",NA-US-IA-DECORAH,FALSE,5970,10409,196097858,
27334,52140,STANDARD,DORCHESTER,IA,PRIMARY,43.46,-91.51,-0.01,-0.72,0.68,NA,US,"Dorchester, IA",NA-US-IA-DORCHESTER,FALSE,258,460,6630242,
27337,52222,STANDARD,DEEP RIVER,IA,PRIMARY,41.58,-92.37,-0.03,-0.74,0.66,NA,US,"Deep River, IA",NA-US-IA-DEEP RIVER,FALSE,342,633,8942773,
27338,52223,STANDARD,DELHI,IA,PRIMARY,42.43,-91.33,-0.01,-0.73,0.67,NA,US,"Delhi, IA",NA-US-IA-DELHI,FALSE,669,1184,20926327,
27340,52037,STANDARD,DELMAR,IA,PRIMARY,41.99,-90.6,-7.89E-03,-0.74,0.66,NA,US,"Delmar, IA",NA-US-IA-DELMAR,FALSE,564,1050,18260698,
27343,51442,STANDARD,DENISON,IA,PRIMARY,42.01,-95.34,-0.06,-0.73,0.66,NA,US,"Denison, IA",NA-US-IA-DENISON,FALSE,4134,7649,127537661,
27345,50622,STANDARD,DENVER,IA,PRIMARY,42.67,-92.33,-0.02,-0.73,0.67,NA,US,"Denver, IA",NA-US-IA-DENVER,FALSE,1479,2840,73622789,
27356,50309,STANDARD,DES MOINES,IA,PRIMARY,41.57,-93.61,-0.04,-0.74,0.66,NA,US,"Des Moines, IA",NA-US-IA-DES MOINES,FALSE,2474,3299,92438906,
27357,50310,STANDARD,DES MOINES,IA,PRIMARY,41.57,-93.61,-0.04,-0.74,0.66,NA,US,"Des Moines, IA",NA-US-IA-DES MOINES,FALSE,15548,25439,570479110,
27359,50311,STANDARD,DES MOINES,IA,PRIMARY,41.57,-93.61,-0.04,-0.74,0.66,NA,US,"Des Moines, IA",NA-US-IA-DES MOINES,FALSE,7480,11817,257634021,
27360,50312,STANDARD,DES MOINES,IA,PRIMARY,41.57,-93.61,-0.04,-0.74,0.66,NA,US,"Des Moines, IA",NA-US-IA-DES MOINES,FALSE,8051,12788,423699647,
27361,50313,STANDARD,DES MOINES,IA,PRIMARY,41.57,-93.61,-0.04,-0.74,0.66,NA,US,"Des Moines, IA",NA-US-IA-DES MOINES,FALSE,7752,13013,241628917,
27366,50314,STANDARD,DES MOINES,IA,PRIMARY,41.57,-93.61,-0.04,-0.74,0.66,NA,US,"Des Moines, IA",NA-US-IA-DES MOINES,FALSE,4373,7376,97398727,
27367,50315,STANDARD,DES MOINES,IA,PRIMARY,41.57,-93.61,-0.04,-0.74,0.66,NA,US,"Des Moines, IA",NA-US-IA-DES MOINES,FALSE,16440,27553,522082916,
27369,50316,STANDARD,DES MOINES,IA,PRIMARY,41.57,-93.61,-0.04,-0.74,0.66,NA,US,"Des Moines, IA",NA-US-IA-DES MOINES,FALSE,6503,11068,174113317,
27370,50317,STANDARD,DES MOINES,IA,PRIMARY,41.57,-93.61,-0.04,-0.74,0.66,NA,US,"Des Moines, IA",NA-US-IA-DES MOINES,FALSE,16573,28311,518817926,
27379,50320,STANDARD,DES MOINES,IA,PRIMARY,41.57,-93.61,-0.04,-0.74,0.66,NA,US,"Des Moines, IA",NA-US-IA-DES MOINES,FALSE,8522,15371,327853015,
27381,50321,STANDARD,DES MOINES,IA,PRIMARY,41.57,-93.61,-0.04,-0.74,0.66,NA,US,"Des Moines, IA",NA-US-IA-DES MOINES,FALSE,3690,6169,166032817,
27383,50322,STANDARD,URBANDALE,IA,PRIMARY,41.63,-93.74,-0.04,-0.74,0.66,NA,US,"Urbandale, IA",NA-US-IA-URBANDALE,FALSE,17112,29647,793486907,
27385,50323,STANDARD,URBANDALE,IA,PRIMARY,41.63,-93.74,-0.04,-0.74,0.66,NA,US,"Urbandale, IA",NA-US-IA-URBANDALE,FALSE,4463,9140,400674886,
27391,50325,STANDARD,CLIVE,IA,PRIMARY,41.6,-93.76,-0.04,-0.74,0.66,NA,US,"Clive, IA",NA-US-IA-CLIVE,FALSE,7295,13630,513986217,
27393,50327,STANDARD,PLEASANT HILL,IA,PRIMARY,41.58,-93.49,-0.04,-0.74,0.66,NA,US,"Pleasant Hill, IA",NA-US-IA-PLEASANT HILL,FALSE,4726,8647,232012575,
27470,50069,STANDARD,DE SOTO,IA,PRIMARY,41.53,-94,-0.05,-0.74,0.66,NA,US,"De Soto, IA",NA-US-IA-DE SOTO,FALSE,491,922,20285744,
27472,50265,STANDARD,WEST DES MOINES,IA,PRIMARY,41.57,-93.75,-0.04,-0.74,0.66,NA,US,"West Des Moines, IA",NA-US-IA-WEST DES MOINES,FALSE,16193,27430,880316436,
27475,50266,STANDARD,WEST DES MOINES,IA,PRIMARY,41.57,-93.75,-0.04,-0.74,0.66,NA,US,"West Des Moines, IA",NA-US-IA-WEST DES MOINES,FALSE,12189,20361,714675908,
27478,52742,STANDARD,DE WITT,IA,PRIMARY,41.82,-90.54,-7.11E-03,-0.74,0.66,NA,US,"De Witt, IA",NA-US-IA-DE WITT,FALSE,3649,6617,141702558,
27480,50070,STANDARD,DEXTER,IA,PRIMARY,41.51,-94.22,-0.05,-0.74,0.66,NA,US,"Dexter, IA",NA-US-IA-DEXTER,FALSE,685,1246,25053508,
27481,50845,STANDARD,DIAGONAL,IA,PRIMARY,40.81,-94.34,-0.05,-0.75,0.65,NA,US,"Diagonal, IA",NA-US-IA-DIAGONAL,FALSE,311,576,8097624,
27482,51333,STANDARD,DICKENS,IA,PRIMARY,43.13,-95.02,-0.06,-0.72,0.68,NA,US,"Dickens, IA",NA-US-IA-DICKENS,FALSE,273,473,6991837,
27483,50624,STANDARD,DIKE,IA,PRIMARY,42.46,-92.63,-0.03,-0.73,0.67,NA,US,"Dike, IA",NA-US-IA-DIKE,FALSE,789,1512,36632703,
27484,52745,STANDARD,DIXON,IA,PRIMARY,41.74,-90.78,-0.01,-0.74,0.66,NA,US,"Dixon, IA",NA-US-IA-DIXON,FALSE,320,572,11502712,
27487,52746,STANDARD,DONAHUE,IA,PRIMARY,41.69,-90.67,-8.80E-03,-0.74,0.66,NA,US,"Donahue, IA",NA-US-IA-DONAHUE,FALSE,449,843,18427282,
27488,52625,STANDARD,DONNELLSON,IA,PRIMARY,40.64,-91.56,-0.02,-0.75,0.65,NA,US,"Donnellson, IA",NA-US-IA-DONNELLSON,FALSE,1270,2301,39773462,
27493,51235,STANDARD,DOON,IA,PRIMARY,43.27,-96.23,-0.07,-0.72,0.68,NA,US,"Doon, IA",NA-US-IA-DOON,FALSE,455,879,12901733,
27494,52551,STANDARD,DOUDS,IA,PRIMARY,40.8,-92.04,-0.02,-0.75,0.65,NA,US,"Douds, IA",NA-US-IA-DOUDS,FALSE,312,573,7283313,
27496,50071,STANDARD,DOWS,IA,PRIMARY,42.65,-93.5,-0.04,-0.73,0.67,NA,US,"Dows, IA",NA-US-IA-DOWS,FALSE,461,823,11526121,
